"Basel Annex VIII, II or IX ",Y Code,National Code,"
Type of waste ","
Hazardous characteristics","Amount exported 
 (use dots for decimals, e.g. 20.15)","
Countries of  transit",Country of destination,"
Final disposal operation",Recovery operation,Exporting_Country
A1010,,060405*,Calcined material containing Pt,H12,0.35,,DE,,R4,Brazil
A1020,Y18,110198*,Ashes from calcined slop/washcoat (from automotive catalyst production),H8,70.0,"ES,NL,GB,DE,FR",BE,,R4,Brazil
A1020,Y18,110198*,Ashes from calcined slop/washcoat (from automotive catalyst production),H8,30.0,DE,BE,,R4,Brazil
A4160,Y18,061302*,Carbon fines,,1200.0,"ES,GB,NL,DE",BE,,R4,Brazil
A2030,,160807*,Palladium/carbon catalyst,"H11,H12",150.0,"ES,GB",NL,,R4,Brazil
A1020,Y31,100815*,Sn Al residues,H12,50.0,"NL,GB,DE",BE,,R4,Brazil
A1020,Y31,100815*,SnPb ashes and residues,H12,150.0,"NL,GB,DE",BE,,R4,Brazil
A1020,Y18,010307*,Spent Au on Carbon containing precious metals,H12,250.0,"ES,NL,GB,DE,FR",BE,,R4,Brazil
A2030,Y18,160802*,Exhausted Catalyst containing Rhodium,H3,100.0,"ES,NL,GB,DE,FR",BE,,R4,Brazil
A2030,,160807*,"Spent catalyst, contains precious metals","H4.1,H4.2,H6.1",25.0,"MA,NL,GB",DE,,R13,Brazil
A1180,,160605,"Used nickel metal hybride batteries, used lithium ion batteries","H8,H12",50.0,"NL,DE",SE,,R4,Brazil
A4030,Y4,15 01 10*,obsolete pesticides,H6.1,14.742,"RO,HU,AT,DE",FR,D10,,Bulgaria
A4030,Y4,20 01 19*,obsolete pesticides,H6.1,215.412,"RO,HU,AT,DE",FR,D10,,Bulgaria
A4030,Y4,20 01 19*,obsolete pesticides,H6.1,788.705,"RO,HU,AT,DE",FR,D10,,Bulgaria
A1010,Y29,06 04 04*,waste containing mercury,H8,3.425,"CZ,HU,RO,SK",DE,,R4,Bulgaria
,,19 02 11*,mixed material contаining hazardous substances,H12,44.745,"CZ,HU,RO,SK",DE,D10,,Bulgaria
A1030,Y29,20 01 21*,used fluorescent and other mercury containing lamps,H12,11.1,,RO,,"R12,R4,R5",Bulgaria
A2030,,16 08 02*,VniMo-V spent catalysts,H12,2580.476,"HU,RO",AT,,R4,Bulgaria
A2030,,16 08 02*,VniMo-V spent catalysts,H12,722.256,"RO,HU,SK,CZ",DE,,R4,Bulgaria
,Y18,19 02 04*,premixed waste cont. hazardous substances,H4.1,51.24,"HU,RO",AT,D10,,Bulgaria
A1050,Y17,11 01 09*,sludges/filter cake,H12,64.62,"RO,HU,SK,CZ",DE,,R4,Bulgaria
A1020,Y31,19 12 11*,lead paste,H12,248.072,,RO,,R4,Bulgaria
A1160,Y31,16 06 01*,spent lead-acid batteries,H8,534.66,,GR,,R4,Bulgaria
A4030,Y4,02 01 08*,agrochemical waste containing dangerous substances,H6.1,21.16,"RO,HU,SK,CZ",DE,D10,,Bulgaria
A4030,Y4,02 01 08*,agrochemical waste containing dangerous substances,H6.1,41.1,"RO,HU,AT,DE",CH,D10,,Bulgaria
A4060,"Y8,Y9","130701, 130899",Used Minieral Oil,,978.6,,PT,,"R3,R9",Cabo Verde
A1160,Y31,AA170,Lead Acid Battery,"H8,H11,H12",6998.0,,KR,,R4,China
"A1020,A1180","Y20,Y27,Y31,Y45",AD220,Printed Circuit Board,"H6.1,H11,H12,H13",1952.0,,JP,,R4,China
B1150,Y18,AA160,"Precious Metal Ash
",H11,22.0,"CN,EG,GR,SG",IT,,R4,China
B1150,Y18,AA160,"Precious Metal Ash
",H11,1.0,,IT,,R4,China
,,AD220,Recovered Refrigerant,"H11,H12",16.0,,SG,,R3,China
A1020,Y22,AA160,"Integrated Circuit Powder
",H11,122.0,"BE,CN,EG,MY,ES",DE,,R4,China
A1020,Y22,AA160,"Integrated Circuit Powder
",H11,69.0,"CN,EG,MY,PT",BE,,R4,China
A1170,Y26,AA180,"Scraps of Li-ion Battery, Li-Polymer Battery, NI-MH Battery and NI-CD Battery
",H11,24.0,,JP,,R4,China
A1170,Y26,AA180,"Waste Rechargeable Lithium-ion, Lithium Polymer, Nickel Metal Hydride and Nickel Cadmium Batteries and Waste Primary Batteries
",H11,83.0,,KR,,R4,China
A1170,Y18,AA180,"Used Lithium-ion & Lithium Polymer Batteries
",H11,25.0,"CN,EG,DE,NL,SG,LK,GB",BE,,R4,China
B1110,Y17,HW900-045-49,Waste printed circuit board,H13,10.0,,SG,,R4,China
A2030,Y_,HW261-160-50,Spent catalyst,H12,200.0,,DE,,R4,China
A1020,Y18,HW772-003-18,Fly dust from incinerator,H12,20.0,,BE,,R4,China
A1020,Y18,HW772-003-18,Sludge from waste water,H12,300.0,,BE,,R4,China
B1100,"Y21,Y22,Y31",HW900-045-49	,Waste printed circuit board,H13,120.0,,JP,,R4,China
A1050,"Y17,Y22",HW336-062-17	,Galvanic sludge,H11,70.0,"EG,NL",DE,,R4,China
A1050,"Y17,Y22",HW336-063-17	,Galvanic sludge,H11,60.0,"EG,NL",DE,,R4,China
A1050,"Y17,Y22",HW336-063-17	,Galvanic sludge,H11,120.0,EG,DE,,R4,China
A1050,"Y17,Y22",HW336-063-17	,Galvanic sludge,H11,20.0,EG,DE,,R4,China
B1110,"Y18,Y22",HW900-045-49	,Waste circuit boards,H13,366.0,,SG,,R4,China
B1110,Y22,HW900-045-49	,Waste circuit boards,H13,185.0,,KR,,R4,China
B1110,Y22,HW900-045-49	,Waste circuit boards,H13,50.0,,KR,,R4,China
B1110,Y22,HW900-045-49	,Waste circuit boards,H13,80.0,,KR,,R4,China
A1170,Y_,,Waste Lithium Metal Batteries,,3.92,US,CA,,R4,Colombia
A4030,Y4,,Obsolete Pesticides,,21.48,"PA,
PE,
CL,
BS,
NL,
BE,
GB,
DE",DK,D10,,Colombia
,Y7,110301*,Gold and cyanide filters,H8,15.0,,US,,R4,Costa Rica
,Y7,110301*,Resines with cyanide and gold,H8,2.25,,US,,R4,Costa Rica
,Y7,110301*,Water with gold and cyanide (gold stripper process),H8,7.5,,US,,R4,Costa Rica
,Y7,160307*,Sludge with cyanide and gold,H8,45.0,,US,,R4,Costa Rica
"A1180,B1110","Y20,Y22,Y23,Y24,Y27,Y28,Y29,Y30,Y31",200135*,Electronic components from the waste of computer parts,H12,30.0,,US,,"R4,R12",Costa Rica
A2010,Y31,"160213*, 160215*",Whole cathode ray tubes,H11,86.0,,US,,R4,Costa Rica
A1030,Y29,200121*,Crushed fluorescent tubes with mercury and plastic,H11,45.0,,US,,R4,Costa Rica
,Y_,03 01 05,AC170,,1427.54,SI,AT,,R3,Croatia
,Y_,03 01 05,AC170,,376.38,"SI,HU",AT,,R3,Croatia
,Y_,15 01 03,AC170,,460.2,SI,AT,,R3,Croatia
,Y_,16 03 06,,,12.15,,HU,,R1,Croatia
,Y_,17 02 01 ,AC170,,117.08,SI,AT,,R3,Croatia
,Y_,18 01 09,,,52.92,"SI,AT",DE,,R1,Croatia
,Y_,19 02 03,,,1680.0,SI,AT,,R1,Croatia
,Y_,19 02 03,,,1086.146,SI,AT,,R1,Croatia
,Y_,19 08 01,,,866.58,SI,AT,,R1,Croatia
,Y_,19 08 12,AC270,,49.98,,HU,,R3,Croatia
,Y_,19 12 04,Mixed plastics,,171.608,SI,AT,,R3,Croatia
,Y_,19 12 07,AC170,,6292.04,SI,AT,,R3,Croatia
,Y_,19 12 07,AC170,,4725.68,"SI,HU",AT,,R3,Croatia
,Y_,19 12 10,RDF,,5025.38,,BA,,R1,Croatia
,Y_,19 12 10,RDF,,596.62,SI,AT,,R1,Croatia
,Y_,19 12 10,RDF,,202.0,SI,AT,,R1,Croatia
,Y_,19 12 12,RDF,,784.28,SI,AT,,R1,Croatia
,Y_,19 12 12,RDF,,775.28,SI,AT,,R1,Croatia
,Y_,19 12 12,RDF,,300.2,SI,AT,,R1,Croatia
,Y_,19 12 12,RDF,,299.18,SI,AT,,R1,Croatia
,Y_,19 12 12,RDF,,61.56,SI,AT,,R1,Croatia
,Y_,20 01 38,AC170,,352.52,SI,AT,,R3,Croatia
,Y_,20 01 38,AC170,,205.62,"SI,HU",AT,,R3,Croatia
,"Y12,Y13,Y17,Y18",19 12 11*,Mixed waste,,270.46,SI,AT,D10,,Croatia
,"Y12,Y13,Y17,Y18,Y42",19 02 08*,Mixed waste,,122.7,SI,AT,D10,,Croatia
,"Y12,Y18",19 12 11*,Mixed waste,,843.54,SI,AT,D10,,Croatia
,"Y12,Y18",19 12 11*,Mixed waste,,166.88,SI,AT,D10,,Croatia
,"Y12,Y18",19 12 11*,Mixed waste,,22.1,"SI,AT,DE",NL,D10,,Croatia
,Y17,12 01 12*,,"H3,H4.1,H12,H13",48.42,"SI,AT",DE,D10,,Croatia
,Y17,12 01 12*,,"H3,H4.1,H12,H13",23.8,"SI,AT",DE,D10,,Croatia
,"Y17,Y34",11 01 05*,,H8,70.25,SI,AT,,R6,Croatia
,Y18,04 02 20,AC270,,88.9,SI,AT,,R1,Croatia
,Y18,04 02 20,AC270,,23.38,SI,AT,,R1,Croatia
,Y18,12 01 12*,,"H3,H4.1,H11,H12,H13",17.814,"IT,FR,ES",PT,D9,,Croatia
,Y18,19 02 04*,Mixed waste,"H3,H6.1,H11,H12",680.4,SI,AT,D10,,Croatia
,Y18,19 02 04*,Mixed waste,"H3,H6.1,H11,H12,H13",554.68,SI,AT,D10,,Croatia
,Y18,19 02 04*,Mixed waste,"H3,H6.1,H11,H12,H13",288.36,SI,AT,D10,,Croatia
,Y18,19 02 04*,Mixed waste,"H3,H6.1,H11,H12",143.86,"SI,AT",DE,D10,,Croatia
,Y18,19 02 04*,Mixed waste,"H3,H6.1,H11,H12",104.54,"SI,AT",DE,D10,,Croatia
,Y18,19 02 04*,Mixed waste,"H3,H6.1,H11,H12",41.14,SI,AT,D10,,Croatia
,Y18,19 02 09*,Mixed waste,"H4.1,H12,H13",70.94,SI,AT,D10,,Croatia
,Y18,19 02 09*,Mixed waste,"H4.1,H12,H13",22.9,"SI,IT",FR,,"R12,R1",Croatia
,Y18,19 12 11*,Mixed waste,"H4.1,H6.1,H11",732.68,"SI,AT",DE,D10,,Croatia
,Y18,19 12 11*,Mixed waste,"H4.1,H6.1,H11,H12",556.26,SI,AT,D10,,Croatia
,Y18,19 12 11*,Mixed waste,"H4.1,H6.1,H12",316.56,"SI,AT",DE,D10,,Croatia
,Y18,19 12 11*,Mixed waste,"H4.1,H6.1,H12",314.22,"SI,AT",DE,D10,,Croatia
,Y18,19 12 11*,Mixed waste,"H4.1,H6.1,H11,H12",289.66,SI,AT,D10,,Croatia
,Y18,19 12 11*,Mixed waste,"H4.1,H6.1,H12",282.82,SI,AT,D10,,Croatia
,Y18,19 12 11*,Mixed waste,"H4.1,H6.1,H11,H12",164.36,SI,AT,,"R3,R4",Croatia
,Y18,19 12 11*,Mixed waste,"H4.1,H6.1,H12",73.48,SI,AT,D10,,Croatia
,Y18,19 12 11*,Mixed waste,"H4.1,H6.1,H12,H11",24.32,SI,AT,,"R3,R4",Croatia
,"Y18,Y41,Y42",19 02 08*,Mixed waste,"H3,H6.1,H13",64.06,SI,AT,D10,,Croatia
,"Y18,Y45",14 06 01*,AC150,H12,11.254,"SI,AT",DE,D10,,Croatia
,"Y2,Y4,Y5,Y12,Y13,Y17,Y18",19 12 11*,Mixed waste,,877.66,SI,AT,D10,,Croatia
,"Y2,Y4,Y5,Y12,Y13,Y17,Y18",19 12 11*,Mixed waste,,265.6,SI,AT,D10,,Croatia
,Y34,11 01 05*,,H8,186.98,SI,AT,,"R4,R5",Croatia
,"Y41,Y18,Y42",19 02 08*,Mixed waste,"H3,H6.1,H13",454.62,SI,AT,D10,,Croatia
,Y42,16 03 06,,H3,19.09,,HU,,R1,Croatia
,"Y9,Y16,Y17,Y18",19 02 04*,Mixed waste,"H12,H13",158.61,SI,AT,D10,,Croatia
,"Y9,Y16,Y17,Y18",19 02 04*,Mixed waste,"H12,H13",22.22,SI,AT,D10,,Croatia
A1020,Y31,10 04 01*,,H11,25.72,SI,AT,"D9,D1",,Croatia
A1020,Y31,10 04 05*,,H12,140.18,RS,BG,,R4,Croatia
A1020,Y31,16 03 03*,,H12,1.442,"SI,AT",DE,,R4,Croatia
A1020,Y31,16 03 03*,,H12,0.586,"SI,AT,DE",NL,,R4,Croatia
A1060,Y34,11 01 05*,,,266.314,,SI,D9,,Croatia
A1060,Y34,11 01 05*,,,191.22,SI,AT,,R4,Croatia
A1060,Y34,11 01 05*,,,125.46,SI,AT,,R4,Croatia
A1160,Y31,16 06 01*,,,141.168,,SI,,R4,Croatia
A1160,"Y31,Y34",16 06 01*,,,1681.408,,SI,,R4,Croatia
A1160,"Y31,Y34",16 06 01*,,,978.94,,SI,,R4,Croatia
A1160,"Y31,Y34",16 06 01*,,"H8,H12",870.925,SI,AT,,R4,Croatia
A1160,"Y31,Y34",16 06 01*,,H8,413.14,SI,AT,,R4,Croatia
A1160,"Y31,Y34",16 06 01*,,"H8,H12",390.798,SI,AT,,R4,Croatia
A1160,"Y31,Y34",16 06 01*,,,342.96,,SI,,R4,Croatia
A1160,"Y31,Y34",16 06 01*,,,202.83,,SI,,R4,Croatia
A1160,"Y31,Y34",16 06 01*,,,202.77,,SI,,R4,Croatia
A1160,"Y31,Y34",16 06 01*,,,165.314,,SI,,R4,Croatia
A1160,"Y31,Y34",16 06 01*,,H8,44.99,SI,AT,,R4,Croatia
A1170,"Y22,Y23,Y26,Y29,Y31,Y34,Y35","16 06 02*, 16 06 03*, 16 06 04, 16 06 05, 20 01 33*, 20 01 34",,"H4.1,H5.1,H6.1,H8,H11,H12,H13",133.539,"SI,AT",DE,,R12,Croatia
A1170,"Y26,Y29,Y31,Y34,Y35",20 01 33*,,H8,23.338,"SI,IT",FR,,R4,Croatia
A1170,"Y26,Y29,Y31,Y34,Y35",20 01 33*,,H8,21.937,"SI,IT",FR,,R4,Croatia
A2050,Y36,17 06 05*,,H11,22.62,"SI,AT",DE,D1,,Croatia
A3140,Y17,15 01 10*,,H13,0.13,"SI,AT",DE,,R4,Croatia
A3140,Y42,07 05 04*,,H3,138.82,,HU,,R2,Croatia
A3140,Y42,07 05 04*,,H3,87.92,,HU,,R1,Croatia
A3140,Y42,07 05 04*,,H3,64.5,,HU,,R1,Croatia
A3140,Y42,15 02 02*,,H4.1,0.269,"SI,AT",DE,,R4,Croatia
A3140,"Y6,Y16,Y42","04 02 14*, 07 01 04*, 07 02 04*, 07 03 04*, 07 04 04*, 07 05 04*, 07 06 04*, 07 07 04*, 09 01 03*, 14 06 03*, 20 01 13*",,"H3,H6.1",170.44,"SI,AT",DE,D10,,Croatia
A3140,"Y6,Y16,Y42","04 02 14*, 07 01 04*, 07 02 04*, 07 03 04*, 07 04 04*, 07 05 04*, 07 06 04*, 07 07 04*, 09 01 03*, 14 06 03*, 20 01 13*",,"H3,H6.1",155.7,"SI,AT",DE,D10,,Croatia
A3140,"Y6,Y16,Y42","04 02 14*, 07 01 04*, 07 02 04*, 07 03 04*, 07 04 04*, 07 05 04*, 07 06 04*, 07 07 04*, 09 01 03*, 14 06 03*, 20 01 13*",,"H3,H6.1",98.24,SI,AT,D10,,Croatia
A3140,"Y6,Y16,Y42","04 02 14*, 07 01 04*, 07 02 04*, 07 03 04*, 07 04 04*, 07 05 04*, 07 06 04*, 07 07 04*, 09 01 03*, 14 06 03*, 20 01 13*",,,95.16,SI,AT,D10,,Croatia
A3140,"Y6,Y42,Y16","04 02 14*, 07 01 04*, 07 02 04*, 07 03 04*, 07 04 04*, 07 05 04*, 07 06 04*, 07 07 04*, 09 01 03*, 14 06 03*, 20 01 13*",,,81.86,SI,AT,D10,,Croatia
A3140,"Y6,Y42,Y16","04 02 14*, 07 01 04*, 07 02 04*, 07 03 04*, 07 04 04*, 07 05 04*, 07 06 04*, 07 07 04*, 09 01 03*, 14 06 03*, 20 01 13*",,"H3,H6.1",19.1,"SI,AT",DE,D10,,Croatia
A3150,"Y41,Y2,Y4,Y5,Y12",14 06 02*,,"H3,H6.1,H8,H11,H12",37.85,"SI,AT",DE,,R2,Croatia
A3180,Y10,16 02 09*,,"H11,H12",62.482,RS,RO,,"R12,R13",Croatia
A3180,Y10,16 02 09*,,"H11,H12,H13",13.829,HU,RO,,"R12,R13",Croatia
A4010,"Y2,Y3","07 05 13*, 07 05 14, 07 06 99, 16 03 03*, 16 03 05*, 16 03 06, 18 01 09, 18 02 08, 20 01 32",,"H4.1,H6.1,H12",9.28,"SI,AT",DE,D10,,Croatia
A4010,"Y2,Y3",18 01 08*,,"H3,H6.1,H11,H12",3.1,SI,AT,D10,,Croatia
A4010,"Y2,Y3","18 01 08*, 18 02 07*, 20 01 31*",,"H6.1,H11,H12",26.12,"SI,AT",DE,D10,,Croatia
A4010,"Y2,Y3","18 01 08*, 18 02 07*, 20 01 31*",,"H6.1,H11,H12",9.46,"SI,AT",DE,D10,,Croatia
A4010,"Y2,Y3","18 01 09, 18 02 08, 20 01 32",,,6.14,SI,AT,D10,,Croatia
A4010,"Y2,Y3","18 01 09, 18 02 08, 20 01 32",,,5.86,,HU,,R1,Croatia
A4030,Y4,20 01 19*,,"H3,H6.1,H11,H12",3.72,SI,AT,D10,,Croatia
A4050,Y33,06 03 11*,,,8.4,"SI,AT",DE,D10,,Croatia
A4060,Y31,11 01 11*,,H12,5.523,"SI,AT",DE,,R4,Croatia
A4070,Y42,15 02 02*,,H4.1,0.107,"SI,AT,DE",NL,,R4,Croatia
A4070,"Y6,Y12","04 02 16*, 04 02 17, 08 01 11*, 08 01 12, 08 01 13*, 08 01 15*, 08 01 16, 08 01 17*, 08 01 18, 08 01 19*, 08 01 20, 08 01 21*, 08 03 07, 08 03 08, 08 03 12*, 08 03 13, 08 03 14*, 08 03 15, 20 01 27*, 20 01 28",,"H3,H4.1,H12",190.12,"SI,AT",DE,D10,,Croatia
A4070,"Y6,Y12","04 02 16*, 04 02 17, 08 01 11*, 08 01 12, 08 01 13*, 08 01 15*, 08 01 16, 08 01 17*, 08 01 18, 08 01 19*, 08 01 20, 08 01 21*, 08 03 07, 08 03 08, 08 03 12*, 08 03 13, 08 03 14*, 08 03 15, 20 01 27*, 20 01 28   ",,"H3,H12",373.94,"SI,AT",DE,D10,,Croatia
A4090,"Y17,Y34",11 01 05*,,H8,106.26,SI,AT,,R6,Croatia
A4090,"Y2,Y17,Y34","06 01 01*, 06 01 02*, 06 01 03*, 06 01 04*, 06 01 05*, 06 01 06*, 10 01 09*, 11 01 05*, 11 01 06*, 20 01 14*",,,100.2,SI,AT,D9,,Croatia
A4090,"Y2,Y18,Y34","06 01 01*, 06 01 02*, 06 01 03*, 06 01 04*, 06 01 05*, 06 01 06*",,"H3,H6.1,H8,H12",104.38,"SI,AT",DE,D10,,Croatia
A4090,"Y2,Y18,Y34","06 01 01*, 06 01 02*, 06 01 03*, 06 01 04*, 06 01 05*, 06 01 06*",,"H3,H6.1,H8,H12",41.42,"SI,AT",DE,D10,,Croatia
A4090,"Y2,Y34","06 01 01*, 06 01 02*, 06 01 03*, 06 01 04*, 06 01 05*, 06 01 06*, 11 01 05*, 11 01 06*, 20 01 14*",,,189.74,SI,AT,D10,,Croatia
A4090,Y34,"06 01 01*, 06 01 02*, 06 01 03*, 06 01 04*, 06 01 05*, 06 01 06*, 10 01 09*, 11 01 05*, 11 01 06*, 11 01 13*, 11 01 98*, 11 05 04*, 16 03 03*, 16 06 06*, 20 01 14*, 16 05 06*, 16 05 07*",,,641.4,SI,AT,D9,,Croatia
A4090,Y34,"06 01 01*, 06 01 02*, 06 01 03*, 06 01 04*, 06 01 05*, 06 01 06*, 10 01 09*, 11 01 05*, 11 01 06*, 11 01 13*, 11 01 98*, 11 05 04*, 16 03 03*, 16 06 06*, 20 01 14*, 16 05 06*, 16 05 07*",,H8,94.7,SI,AT,D9,,Croatia
A4090,Y35,05 01 11*,,"H8,H12",176.34,"SI,AT",DE,D10,,Croatia
A4090,Y35,"06 02 01*, 06 02 03*, 06 02 04*, 06 02 05*, 11 01 07*, 20 01 15*",,,122.96,SI,AT,D10,,Croatia
A4090,Y35,"06 02 01*, 06 02 03*, 06 02 04*, 06 02 05*, 11 01 07*, 20 01 15*",,,25.04,SI,AT,D10,,Croatia
A4130,Y12,"15 01 10*, 15 02 02*, 16 01 07*",,H4.1,521.18,SI,AT,,"R3,R4",Croatia
A4130,Y17,15 01 10*,,H12,0.073,"SI,AT,DE",NL,,R4,Croatia
A4140,"Y16,Y17,Y18,Y34,Y35",16 05 06*,,"H6.1,H8",108.12,SI,AT,D9,,Croatia
A4140,"Y16,Y17,Y18,Y34,Y35",16 05 06*,,"H6.1,H8",45.25,SI,AT,D9,,Croatia
A4140,Y18,16 03 05*,,H12,25.8,"SI,AT",DE,"D14,D10",,Croatia
A4140,"Y21,Y26",16 05 06*,,"H3,H4.1,H6.1,H8,H11,H12",11.82,"SI,AT",DE,D10,,Croatia
A4140,"Y21,Y26,Y29,Y34,Y35",16 05 06*,,"H3,H4.1,H6.1,H8,H11,H12",3.28,SI,AT,D10,,Croatia
A4160,"Y16,Y17,Y18,Y34,Y35",15 02 02*,,"H6.1,H8",87.22,SI,AT,,R7,Croatia
A4160,"Y6,Y41",15 02 02*,,,22.74,SI,AT,,R7,Croatia
A1160,Y31,Y31,Crushed Lead Acid Accumulators,"H11,H12",141.17,IT,IL,,R4,Cuba
A1040,Y19,Y19,Ash from power generation plants,"H11,H12",90.37,PA,JP,,R4,Cuba
A1160,Y31,16 06 01,Lead-Acid Car Batteries,H8,2115.97,,GR,,R4,Cyprus
A1160,Y31,16 06 01,Lead-Acid Car Batteries,H8,71.89,,KR,,R4,Cyprus
A1160,Y31,16 06 01,Lead-Acid Car Batteries,H8,533.49,IL,ES,,R4,Cyprus
A1160,Y31,16 06 01,Lead-Acid Car Batteries,H8,342.82,,IL,,R4,Cyprus
A4140,"Y34,Y35,Y39,Y40,Y41,Y42","16 05 06, 16 05 07, 16 05 08",Laboratory Waste,"H3,H11",10.023,"IL,IT,NL,ES,GB",DE,D10,,Cyprus
A2050,Y36,"17 06 01, 17 06 05",Asbestos Waste,H12,620.3,"IL,IT,ES",GB,D1,,Cyprus
A4140,Y12,"16 03 03, 16 03 05",Off specification batches and unused products containg dangerous substances,"H3,H6.1,H8,H12",6.628,"IL,IT,NL,ES,GB",DE,D10,,Cyprus
A4010,Y3,"18 01 09, 20 01 39",Expired Medicines,H6.1,1.69,"IL,IT,NL,ES,GB",DE,D10,,Cyprus
A1180,Y_,16 02 13,Waste Fridges,H12,1015.74,,GR,,R4,Cyprus
A1030,Y29,20 01 21,Pre-crushed Fluorescent Lamps and Equipment Containing Mercury,H12,18.001,"IL,ES",GB,,R4,Cyprus
A1170,"Y23,Y26,Y28",20 01 33,Mixed Porable Bateries,H12,70.562,"DE,IL,IT,NL,ES,GB",BE,,R4,Cyprus
A3020,Y8,"130205, 130208",Waste oils,,1209.19,,DE,,R9,Czechia
A3020,Y8,130205,Waste oils,,1557.15,,PL,,R9,Czechia
A3020,Y8,130208,Waste oils,,2382.98, ,DE,,R9,Czechia
A1050,Y17,190205,Metal-bearing sludges,,53.51,,DE,,R4,Czechia
A1050,Y17,190813,Metal-bearing sludges,,8.54,,DE,,R4,Czechia
A1050,Y17,110109,Metal-bearing sludges,,460.985,,DE,,R4,Czechia
A1160,"Y31,Y34",160601,Waste lead acid batteries,,225.608,,DE,,"R4,R5",Czechia
A1160,Y_,160601,Waste lead acid batteries,,259.0,,DE,,R4,Czechia
A1160,Y31,160601,Waste lead acid batteries,,879.457,"SK,HU,RO",BG,,R4,Czechia
A1160,Y31,160601,Waste lead acid batteries,,1237.961,"SK,HU,RO",BG,,"R12,R4,R5",Czechia
A1160,Y31,160601,Waste lead acid batteries,,626.475,,PL,D9,"R12,R3,R4",Czechia
,Y17,120116; AB030,Filter dust,,2.694,,DE,,R4,Czechia
,Y_,120114,Powder and sludge containing dangerous substances,,12.677,,AT,,R4,Czechia
A1170,Y22,160121,Li-Ion batteries,,11.551,,DE,,R4,Czechia
A1170,Y26,160602,Ni-Cd batteries,,73.7,DE,FR,,R4,Czechia
A1060,Y35,110107,Pickling bases,,226.27,,DE,,R5,Czechia
A1130,Y17,110107,Pickling bases,,54.07,,DE,,"R13,R4",Czechia
,Y_,"170204, 191206; AC170",Discarded railway sleepers,,1162.24,,DE,,R1,Czechia
A1020,Y31,100402,Lead ashes,,116.52,DE,BE,,R4,Czechia
A3140,Y6,080111,Paint and varnish containing organic solvents or other dangerous substances,,111.86,,SK,,R2,Czechia
A2030,Y_,160802,Spent catalyst,,122.76,,DE,,R4,Czechia
A3140,Y42,150202,"Absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by dangerous substances",,1.657,DE,NL,,R4,Czechia
A4070,Y_,150202,"Absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by dangerous substances",,0.444,,DE,,R4,Czechia
A4050,Y33,150202,"Absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by dangerous substances",,0.694,,DE,,R4,Czechia
A4160,Y_,150202,Activated carbon,,548.26,,AT,,R7,Czechia
,Y_,140601; AC150,CFCs,,45.657,,DE,,R3,Czechia
A2010,Y31,160215,Glass waste  ,,281.85,,DE,,R5,Czechia
A2010,"Y18,Y31",160215,CRT screens,,477.8,,DE,,R5,Czechia
,Y33,110116; AD120,Saturated or spent ion exchange resin containing precious metals,,0.694,,DE,,R4,Czechia
A4070,Y_,150110,Packaging containing residues of or contaminated by dangerous substances,,0.181,,DE,,R4,Czechia
A1020,Y31,100401,Tin and lead waste - residues from the surface of the soldering and plating bath,,50.806,,PL,,R4,Czechia
,Y_,100308,Wastes from aluminium thermal metallurgy,,9189.98,,DE,,R5,Czechia
,Y32,"100308, 100309, 100315, 101099ª, 100399ª",Salt slags and drosses containing aluminium,,453.682,,SK,,R4,Czechia
,Y32,"120103ª, 120199ª, 170409","Aluminium waste - spills, filings and turnings contaminated with oil products",,57.21,,SK,,R4,Czechia
A1170,Y26,191211,Negative electrodes from NiCd accumulators,,131.42,DE,KR,,R4,Czechia
A1020,Y31,160303,Corundum containing silver,,5.09,DE,NL,,R4,Czechia
A2030,Y2,160807,Spent catalysts containing precious metals (palladium),,0.978,,DE,,R4,Czechia
A3190,Y11,190304,"Partially stabilized waste after distillation processes containing pollutants (heavy metals, oil substances)",,9551.67,,DE,,"R12,R1",Czechia
A1010,Y29,180110,Amalgam waste from dental care,,2.05,,AT,,R4,Czechia
A3140,Y_,140603,Other solvents and solvent mixtures,,21.6,,DE,,"R2,R1",Czechia
A1010,Y29,160307,Mercury,,88.981,DE,CH,D9,,Czechia
A1180,Y45,"160213, 200121","Fluorescent tubes, induction lamps, mercury lamps",,5.045,,SK,D1,"R12,R4",Czechia
A3150,Y6,070503,Halogenated organic solvents ,,848.61,,PL,,R2,Czechia
A3020,Y9,-,Huiles usées,H3,10.0,,UG,D_,R_,Democratic Republic of the Congo
A3020,Y9,-,Huiles usées,H3,10.0,,UG,D_,R_,Democratic Republic of the Congo
A2050,Y36,,"Asbestos, Anfibole",H11,40.0,US,CA,"D9,D15",,Dominican Republic
A1160,Y31,,Waste Lead Acid Batteries,H11,6200.0,,US,,R4,Dominican Republic
A1160,Y31,,Waste Lead Acid Batteries,H11,9820.0,,US,,R4,Dominican Republic
A1010,Y29,,Mercury,"H6.1,H11,H12",20.0,"DE,NL",CH,D9,,Dominican Republic
,Y45,,Chlorodifluoromethane,,0.6,"DE,NL",CH,D10,,Dominican Republic
A3180,Y10,,Polychlorinated biphenyl,H11,51.0,"BE,DE,NL,GB",FR,D10,,Dominican Republic
